ref_ID,type,subset,native_indicated,natural_indicated,end_ref,restricted,taxon_ID,list_ID,end_list,entity_ID,geo_entity,suit_geo,entity_class,entity_type
5,Checklist,native and naturalized,1,1,0,0,2,115,0,114,Gregory Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,116,0,115,Gaze Islet 1,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,117,0,116,Gaze Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,118,0,117,Foale Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,119,0,118,Eight Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,120,0,119,Davis Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,121,0,120,Coronation Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,122,0,121,Burton Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,123,0,122,Burnett Rock,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,124,0,123,Basile Island,1,Island,
5,Checklist,native and naturalized,1,1,0,0,2,125,0,124,Arthur Island,1,Island,
6,Flora,native and naturalized,1,1,1,0,2,126,1,125,Cocos (Keeling) Main Atoll,1,Island,
6,Flora,native and naturalized,1,1,1,0,2,127,1,126,Cocos (Keeling) North Keeling Island,1,Island,
7,Flora,native and naturalized,1,1,1,0,2,128,1,127,Lord Howe Island,1,Island,
8,Flora,native and naturalized,1,1,1,0,2,129,1,128,Norfolk Island,1,Island,
9,Checklist,native and naturalized,1,1,0,0,2,130,0,126,Cocos (Keeling) North Keeling Island,1,Island,
10,Flora,native and naturalized,1,1,1,0,2,131,1,129,Macquarie Island,1,Island,
10,Flora,native and naturalized,1,1,1,0,2,132,1,130,Heard and McDonald Islands,1,Island,
12,Checklist,native and naturalized,1,1,1,0,2,142,1,140,San Miguel,1,Island,
12,Checklist,native and naturalized,1,1,1,0,2,143,1,141,Santa Rosa,1,Island,
12,Checklist,native and naturalized,1,1,1,0,2,144,1,142,"Santa Cruz, Channel Islands",1,Island,
12,Checklist,native and naturalized,1,1,1,0,2,145,1,143,Anacapa,1,Island,
12,Checklist,native and naturalized,1,1,1,0,2,146,1,144,"Santa Barbara, Channel Islands",1,Island,
13,Checklist,native and naturalized,1,1,1,0,2,147,1,145,El Hierro,1,Island,
13,Checklist,native and naturalized,1,1,1,0,2,148,1,146,La Palma,1,Island,
13,Checklist,native and naturalized,1,1,1,0,2,149,1,147,La Gomera,1,Island,
13,Checklist,native and naturalized,1,1,1,0,2,150,1,148,Tenerife,1,Island,
13,Checklist,native and naturalized,1,1,1,0,2,151,1,149,Gran Canaria,1,Island,
13,Checklist,native and naturalized,1,1,1,0,2,152,1,150,Fuerteventura,1,Island,
13,Checklist,native and naturalized,1,1,1,0,2,153,1,151,Lanzarote,1,Island,
14,Checklist,native,1,0,1,0,2,154,1,152,West Falkland,1,Island,
14,Checklist,native,1,0,1,0,2,155,1,153,East Falkland,1,Island,
16,Checklist,all,1,1,1,0,2,171,1,169,French Frigate Shoals (incl. Tern and other islands),1,Island,
16,Checklist,all,1,1,1,0,2,172,1,170,Gardner Pinnacles,1,Island,
16,Checklist,all,1,1,1,0,2,173,1,171,Hawai'i Island,1,Island,
16,Checklist,all,1,1,1,0,2,174,1,172,Kaua'i Island,1,Island,
16,Checklist,all,1,1,1,0,2,175,1,173,Kaho'olawe Island,1,Island,
16,Checklist,all,1,1,1,0,2,176,1,174,Ka'ula Island,1,Island,
16,Checklist,all,1,1,1,0,2,177,1,175,Kure Atoll (incl. Sand and Green Islands),1,Island,
16,Checklist,all,1,1,1,0,2,178,1,176,Lana'i Island,1,Island,
16,Checklist,all,1,1,1,0,2,179,1,177,Laysan Island,1,Island,
16,Checklist,all,1,1,1,0,2,180,1,178,Lehua Island,1,Island,
16,Checklist,all,1,1,1,0,2,181,1,179,Lisianski Island,1,Island,
16,Checklist,all,1,1,1,0,2,182,1,180,Maui Island,1,Island,
16,Checklist,all,1,1,1,0,2,183,1,181,Midway Atoll (incl. Sand and Eastern Islands),1,Island,
16,Checklist,all,1,1,1,0,2,184,1,182,Molokini Island,0,Island,
16,Checklist,all,1,1,1,0,2,185,1,183,Moloka'i Island,1,Island,
16,Checklist,all,1,1,1,0,2,186,1,184,Nihoa Island,1,Island,
16,Checklist,all,1,1,1,0,2,187,1,185,Necker Island,1,Island,
16,Checklist,all,1,1,1,0,2,188,1,186,Ni'ihau Island,1,Island,
16,Checklist,all,1,1,1,0,2,189,1,187,O'ahu Island (incl. Mokoli'i Islet),1,Island,
16,Checklist,all,1,1,1,0,2,190,1,188,Pearl and Hermes Atoll,1,Island,
17,Checklist,all,1,1,0,0,2,191,0,189,Iceland,1,Island,
18,Checklist,all,1,1,0,0,5,192,0,190,Ilha dos Franceses,0,Island,
19,Checklist,all,1,1,0,0,2,193,0,191,Flinders Island,1,Island,
19,Checklist,all,1,1,0,0,2,194,0,192,East Waldegrave Island,1,Island,
19,Checklist,all,1,1,0,0,2,195,0,193,West Waldegrave Island,1,Island,
19,Checklist,all,1,1,0,0,2,196,0,194,Topgallant Island,1,Island,
19,Checklist,all,1,1,0,0,2,197,0,195,Ward Island,1,Island,
19,Checklist,all,1,1,0,0,2,198,0,196,South Ward Island,1,Island,
19,Checklist,all,1,1,0,0,2,199,0,197,Pearson Island,1,Island,
19,Checklist,all,1,1,0,0,2,200,0,198,North Veteran Island,1,Island,
19,Checklist,all,1,1,0,0,2,201,0,199,Dorothee Island,1,Island,
20,Checklist,all,1,0,0,0,2,202,0,200,Ireland incl. North Ireland,1,Island,
22,Red list,native,1,0,1,0,2,204,1,202,La Réunion,1,Island,
23,Checklist,all,1,1,1,0,2,205,1,203,Eiao,1,Island,
23,Checklist,all,1,1,1,0,2,206,1,204,Fatu Hiva,1,Island,
23,Checklist,all,1,1,1,0,2,207,1,205,Fatu Huku,1,Island,
23,Checklist,all,1,1,1,0,2,208,1,206,Hatutaa,1,Island,
23,Checklist,all,1,1,1,0,2,209,1,207,Hiva Oa,1,Island,
23,Checklist,all,1,1,1,0,2,210,1,208,Mohotani,1,Island,
23,Checklist,all,1,1,1,0,2,211,1,209,Hatu Iti (Motu Iti),1,Island,
23,Checklist,all,1,1,1,0,2,212,1,210,Motu One,0,Island,
23,Checklist,all,1,1,1,0,2,213,1,211,Nuku Hiva,1,Island,
23,Checklist,all,1,1,1,0,2,214,1,212,Tahuata,1,Island,
23,Checklist,all,1,1,1,0,2,215,1,213,Ua Huka,1,Island,
23,Checklist,all,1,1,1,0,2,216,1,214,Ua Pou,1,Island,
24,Checklist,all,1,0,0,0,1,217,0,215,New Zealand,1,Island,
25,Checklist,native,1,0,1,0,2,218,1,216,Pitcairn,1,Island,
25,Checklist,native,1,0,1,0,2,219,1,217,Henderson,1,Island,
25,Checklist,native,1,0,1,0,2,220,1,218,Oeno,1,Island,
25,Checklist,native,1,0,1,0,2,221,1,219,Ducie,1,Island,
26,Checklist,all,1,0,0,0,2,222,0,220,Rongelap Atoll,1,Island,
26,Checklist,all,1,0,0,0,2,223,0,221,Ailinginae Atoll,1,Island,
26,Checklist,all,1,0,0,0,2,224,0,222,Arbar,0,Island,
26,Checklist,all,1,0,0,0,2,225,0,223,Bokanrokut,0,Island,
26,Checklist,all,1,0,0,0,2,226,0,224,Enealo,0,Island,
26,Checklist,all,1,0,0,0,2,227,0,225,Looj,0,Island,
26,Checklist,all,1,0,0,0,2,228,0,226,Rongelap Island,0,Island,
26,Checklist,all,1,0,0,0,2,229,0,227,Tufa,0,Island,
26,Checklist,all,1,0,0,0,2,230,0,228,Eneaetok,0,Island,
26,Checklist,all,1,0,0,0,2,231,0,229,Lukotoke,0,Island,
26,Checklist,all,1,0,0,0,2,232,0,230,Bokjelto,0,Island,
27,Checklist,native,1,0,0,0,5,233,0,231,Takeshima,1,Island,
27,Checklist,native,1,0,0,0,5,234,0,232,Ioujima,1,Island,
27,Checklist,native,1,0,0,0,5,235,0,233,Kuroshima,1,Island,
27,Checklist,native,1,0,0,0,5,236,0,234,Tanegashima,1,Island,
27,Checklist,native,1,0,0,0,5,237,0,235,Yakushima,1,Island,
27,Checklist,native,1,0,0,0,5,238,0,236,Kuchinoerabujima,1,Island,
27,Checklist,native,1,0,0,0,5,239,0,237,Kuchinoshima,1,Island,
27,Checklist,native,1,0,0,0,5,240,0,238,Nakanoshima,1,Island,
27,Checklist,native,1,0,0,0,5,241,0,239,Gajajima,1,Island,
27,Checklist,native,1,0,0,0,5,242,0,240,Tairajima,1,Island,
27,Checklist,native,1,0,0,0,5,243,0,241,Suwanosejima,1,Island,
27,Checklist,native,1,0,0,0,5,244,0,242,Akusekijima,1,Island,
27,Checklist,native,1,0,0,0,5,245,0,243,Kodakarajima,1,Island,
27,Checklist,native,1,0,0,0,5,246,0,244,Takarajima,1,Island,
27,Checklist,native,1,0,0,0,5,247,0,245,Yokoatejima,1,Island,
27,Checklist,native,1,0,0,0,5,248,0,246,Amamioshima,1,Island,
27,Checklist,native,1,0,0,0,5,249,0,247,Kikaijima,1,Island,
27,Checklist,native,1,0,0,0,5,250,0,248,Tokunoshima,1,Island,
27,Checklist,native,1,0,0,0,5,251,0,249,Okinoerabujima,1,Island,
27,Checklist,native,1,0,0,0,5,252,0,250,Yoronjima,1,Island,
27,Checklist,native,1,0,0,0,5,253,0,251,Okinawajima,1,Island,
27,Checklist,native,1,0,0,0,5,254,0,252,Kumejima,1,Island,
27,Checklist,native,1,0,0,0,5,255,0,253,Miyakojima,1,Island,
27,Checklist,native,1,0,0,0,5,256,0,254,Ishigakijima,1,Island,
27,Checklist,native,1,0,0,0,5,257,0,255,Iriomotejima,1,Island,
27,Checklist,native,1,0,0,0,5,258,0,256,Yonagunijima,1,Island,
28,Checklist,native,1,0,0,0,2,259,0,257,Bjornoya,1,Island,
28,Checklist,native,1,0,0,0,2,260,0,258,Sorkappoya,1,Island,
28,Checklist,native,1,0,0,0,2,261,0,259,Hopen,1,Island,
28,Checklist,native,1,0,0,0,2,262,0,260,Edgeoya,1,Island,
28,Checklist,native,1,0,0,0,2,263,0,261,Barentsoya,1,Island,
28,Checklist,native,1,0,0,0,2,264,0,262,Svenskoya,1,Island,
28,Checklist,native,1,0,0,0,2,265,0,263,Prins Karls Forland,1,Island,
28,Checklist,native,1,0,0,0,2,266,0,264,Kongeoya,1,Island,
28,Checklist,native,1,0,0,0,2,267,0,265,Danskoya,1,Island,
28,Checklist,native,1,0,0,0,2,268,0,266,Amsterdamoya,1,Island,
28,Checklist,native,1,0,0,0,2,269,0,267,Moffen,1,Island,
28,Checklist,native,1,0,0,0,2,270,0,268,Spitsbergen,1,Island,
28,Checklist,native,1,0,0,0,2,271,0,269,Storoya,1,Island,
28,Checklist,native,1,0,0,0,2,272,0,270,Island in Lady Franklinfjord,1,Island,
28,Checklist,native,1,0,0,0,2,273,0,271,Kvitoya,1,Island,
28,Checklist,native,1,0,0,0,2,274,0,272,Lagoya,1,Island,
28,Checklist,native,1,0,0,0,2,275,0,273,Nordaustlandet,1,Island,
28,Checklist,native,1,0,0,0,2,276,0,274,Sjuoyane South Island,1,Island,
28,Checklist,native,1,0,0,0,2,277,0,275,Karl XII-oya,1,Island,
28,Checklist,native,1,0,0,0,2,278,0,276,Sjuoyane North Island,1,Island,
28,Checklist,native,1,0,0,0,2,1060,0,919,Halvmaneoya,1,Island,
29,Checklist,native,1,0,0,0,2,279,0,277,Aldabra,1,Island,
29,Checklist,native,1,0,0,0,2,280,0,278,Assumption,1,Island,
29,Checklist,native,1,0,0,0,2,281,0,279,Cosmoledo,1,Island,
29,Checklist,native,1,0,0,0,2,282,0,280,Astove,1,Island,
29,Checklist,native,1,0,0,0,2,283,0,281,St Pierre,1,Island,
29,Checklist,native,1,0,0,0,2,284,0,282,Providence,1,Island,
29,Checklist,native,1,0,0,0,2,285,0,283,Farquhar,1,Island,
29,Checklist,native,1,0,0,0,2,286,0,284,Agalega,1,Island,
29,Checklist,native,1,0,0,0,2,287,0,285,Cargardos Carajos,1,Island,
29,Checklist,native,1,0,0,0,2,288,0,286,African Banks,1,Island,
29,Checklist,native,1,0,0,0,2,289,0,287,Remire,1,Island,
29,Checklist,native,1,0,0,0,2,290,0,288,Desroches,1,Island,
29,Checklist,native,1,0,0,0,2,291,0,289,Coetivy,1,Island,
29,Checklist,native,1,0,0,0,2,292,0,290,Darros,1,Island,
30,Checklist,all,1,0,1,0,5,293,1,291,Lesser Antilles,1,Island,
30,Checklist,all,1,0,1,0,5,294,1,292,Virgin Islands,1,Island,
30,Checklist,all,1,0,1,0,5,295,1,293,Anegada,1,Island,
