taxon_ID,taxon_name,taxon_author,taxon_lvl,lft,rgt
186,Papaveraceae,Juss.,family,2200,2301
187,Circaeasteraceae,Hutch.,family,2194,2199
188,Lardizabalaceae,R.Br.,family,2176,2193
189,Menispermaceae,Juss.,family,2008,2175
190,Berberidaceae,Juss.,family,1968,2007
191,Ranunculaceae,Juss.,family,1804,1967
192,Sabiaceae,Blume,family,1792,1801
193,Nelumbonaceae,A.Rich.,family,1786,1791
194,Platanaceae,T.Lestib.,family,1782,1785
195,Proteaceae,Juss.,family,1606,1781
196,Trochodendraceae,Eichler,family,1598,1603
197,Buxaceae,Dumort.,family,1580,1595
198,Myrothamnaceae,Nied.,family,2355,2358
199,Gunneraceae,Meisn.,family,2351,2354
200,Dilleniaceae,Salisb.,family,2309,2348
201,Peridiscaceae,Kuhlm.,family,19448,19457
202,Paeoniaceae,Raf.,family,19444,19447
203,Altingiaceae,Lindl.,family,19436,19443
204,Hamamelidaceae,R.Br.,family,19378,19435
205,Cercidiphyllaceae,Engl.,family,19374,19377
206,Daphniphyllaceae,Muell.Arg.,family,19368,19373
207,Iteaceae,J.Agardh,family,19358,19367
208,Grossulariaceae,DC.,family,19350,19357
209,Saxifragaceae,Juss.,family,19240,19349
210,Crassulaceae,J.St.-Hil.,family,19120,19239
211,Aphanopetalaceae,Doweld,family,19116,19119
212,Tetracarpaeaceae,Nakai,family,19112,19115
213,Penthoraceae,Rydb. ex Britton,family,19108,19111
214,Haloragaceae,R.Br.,family,19082,19107
215,Cynomoriaceae,Endl. ex Lindl.,family,19078,19081
216,Vitaceae,Juss.,family,29967,30014
217,Krameriaceae,Dumort.,family,29961,29964
218,Zygophyllaceae,R.Br.,family,29895,29960
219,Quillajaceae,D.Don,family,29889,29892
220,Fabaceae,Lindl.,family,27715,29888
221,Surianaceae,Arn.,family,27703,27714
222,Polygalaceae,Hoffmanns. & Link,family,27629,27702
223,Rosaceae,Juss.,family,27283,27626
224,Barbeyaceae,Rendle,family,27279,27282
225,Dirachmaceae,Hutch.,family,27275,27278
226,Elaeagnaceae,Juss.,family,27265,27274
227,Rhamnaceae,Juss.,family,27117,27264
228,Ulmaceae,Mirb.,family,27099,27116
229,Cannabaceae,Martinov,family,27075,27098
230,Moraceae,Gaudich.,family,26945,27074
231,Urticaceae,Juss.,family,26801,26944
232,Nothofagaceae,Kuprian.,family,26793,26798
233,Fagaceae,Dumort.,family,26769,26792
234,Myricaceae,Rich. ex Kunth,family,26757,26768
235,Juglandaceae,DC. ex Perleb,family,26727,26756
236,Casuarinaceae,R.Br.,family,26717,26726
237,Ticodendraceae,Gomez-Laur. & L.D.Gomez,family,26713,26716
238,Betulaceae,Gray,family,26697,26712
239,Apodanthaceae,Tiegh. ex Takht.,family,26687,26694
240,Anisophylleaceae,Ridl.,family,26677,26686
241,Corynocarpaceae,Engl.,family,26673,26676
242,Coriariaceae,DC.,family,26669,26672
243,Cucurbitaceae,Juss.,family,26369,26668
244,Tetramelaceae,Airy Shaw,family,26363,26368
245,Datiscaceae,Dumort.,family,26357,26362
246,Begoniaceae,C.Agardh,family,26351,26356
247,Lepidobotryaceae,J.Leonard,family,26343,26348
248,Celastraceae,R.Br.,family,26083,26342
249,Huaceae,A.Chev.,family,26075,26080
250,Connaraceae,R.Br.,family,26023,26074
251,Oxalidaceae,R.Br.,family,25997,26022
252,Cunoniaceae,R.Br.,family,25931,25996
253,Elaeocarpaceae,Juss.,family,25889,25930
254,Cephalotaceae,Dumort.,family,25885,25888
255,Brunelliaceae,Engl.,family,25881,25884
256,Pandaceae,Engl. & Gilg,family,25869,25878
257,Irvingiaceae,Exell & Mendonca,family,25861,25868
258,Ctenolophonaceae,Exell & Mendonca,family,25857,25860
259,Rhizophoraceae,Pers.,family,25813,25856
260,Erythroxylaceae,Kunth,family,25803,25812
261,Ochnaceae,DC.,family,25691,25802
262,Bonnetiaceae,L.Beauvis. ex Nakai,family,25683,25690
263,Clusiaceae,Lindl.,family,25615,25682
264,Calophyllaceae,J.Agardh,family,25583,25614
265,Podostemaceae,Rich. ex Kunth,family,25439,25582
266,Hypericaceae,Juss.,family,25413,25438
267,Caryocaraceae,Voigt,family,25407,25412
268,Lophopyxidaceae,H.Pfeiff.,family,25403,25406
269,Putranjivaceae,Meisn.,family,25395,25402
270,Centroplacaceae,Doweld & Reveal,family,25387,25394
271,Elatinaceae,Dumort.,family,25381,25386
272,Malpighiaceae,Juss.,family,25203,25380
273,Balanopaceae,Benth. & Hook.f.,family,25199,25202
274,Trigoniaceae,A.Juss.,family,25187,25198
275,Dichapetalaceae,Baill.,family,25179,25186
276,Euphroniaceae,Marc.-Berti,family,25173,25178
277,Chrysobalanaceae,R.Br.,family,25113,25172
278,Humiriaceae,A.Juss.,family,25095,25112
279,Achariaceae,Harms,family,25029,25094
280,Violaceae,Batsch,family,24953,25028
281,Goupiaceae,Miers,family,24949,24952
282,Passifloraceae,Juss. ex Roussel,family,24857,24948
283,Lacistemataceae,Mart.,family,24851,24856
284,Salicaceae,Mirb.,family,24701,24850
285,Peraceae,Klotzsch,family,24689,24700
286,Rafflesiaceae,Dumort.,family,24681,24688
287,Euphorbiaceae,Juss.,family,24145,24680
288,Linaceae,DC. ex Perleb,family,24105,24144
289,Ixonanthaceae,Planch. ex Miq.,family,24091,24104
290,Picrodendraceae,Small,family,24039,24090
291,Phyllanthaceae,Martinov,family,23907,24038
292,Geraniaceae,Juss.,family,23887,23904
293,Francoaceae,A.Juss.,family,23865,23886
294,Combretaceae,R.Br.,family,23817,23862
295,Lythraceae,J.St.-Hil.,family,23749,23816
296,Onagraceae,Juss.,family,23637,23748
297,Vochysiaceae,A.St.-Hil.,family,23619,23636
298,Myrtaceae,Juss.,family,23275,23618
299,Melastomataceae,Juss.,family,22825,23274
300,Crypteroniaceae,A.DC.,family,22817,22824
301,Alzateaceae,S.A.Graham,family,22813,22816
302,Penaeaceae,Sweet ex Guill.,family,22789,22812
303,Aphloiaceae,Takht.,family,22783,22786
304,Geissolomataceae,A.DC.,family,22779,22782
305,Strasburgeriaceae,Tiegh.,family,22773,22778
306,Staphyleaceae,Martinov,family,22763,22772
307,Guamatelaceae,S.H.Oh & D.Potter,family,22759,22762
308,Stachyuraceae,J.Agardh,family,22755,22758
309,Crossosomataceae,Engl.,family,22743,22754
310,Picramniaceae,Fernando & Quinn,family,22731,22740
311,Gerrardinaceae,M.H.Alford,family,22725,22728
312,Petenaeaceae,Christenh. et al.,family,22721,22724
313,Tapisciaceae,Takht.,family,22715,22720
314,Dipentodontaceae,Merr.,family,22709,22714
315,Biebersteiniaceae,Schnizl.,family,22703,22706
316,Nitrariaceae,Lindl.,family,22695,22702
317,Kirkiaceae,Takht.,family,22691,22694
318,Burseraceae,Kunth,family,22635,22690
319,Anacardiaceae,R.Br.,family,22433,22634
320,Sapindaceae,Juss.,family,22065,22432
321,Rutaceae,Juss.,family,21665,22064
322,Simaroubaceae,DC.,family,21607,21664
323,Meliaceae,Juss.,family,21467,21606
324,Cytinaceae,A.Rich.,family,21457,21464
325,Muntingiaceae,C.Bayer et al.,family,21449,21456
326,Neuradaceae,Kostel.,family,21441,21448
327,Malvaceae,Juss.,family,20837,21440
328,Sphaerosepalaceae,Bullock,family,20831,20836
329,Thymelaeaceae,Juss.,family,20713,20830
330,Bixaceae,Kunth,family,20703,20712
331,Cistaceae,Juss.,family,20677,20702
332,Sarcolaenaceae,Caruel,family,20655,20676
333,Dipterocarpaceae,Blume,family,20591,20654
334,Akaniaceae,Stapf,family,20583,20588
335,Tropaeolaceae,Juss. ex DC.,family,20577,20582
336,Moringaceae,Martinov,family,20571,20576
337,Caricaceae,Dumort.,family,20555,20570
338,Limnanthaceae,R.Br.,family,20549,20554
339,Setchellanthaceae,Iltis,family,20545,20548
340,Koeberliniaceae,Engl.,family,20541,20544
341,Bataceae,Mart. ex Perleb,family,20537,20540
342,Salvadoraceae,Lindl.,family,20529,20536
343,Emblingiaceae,Airy Shaw,family,20525,20528
344,Tovariaceae,Pax,family,20521,20524
345,Pentadiplandraceae,Hutch. & Dalziel,family,20517,20520
346,Gyrostemonaceae,A.Juss.,family,20505,20516
347,Resedaceae,Martinov,family,20485,20504
348,Capparaceae,Juss.,family,20401,20484
349,Cleomaceae,Bercht. & J.Presl,family,20361,20400
350,Brassicaceae,Burnett,family,19465,20360
351,Aextoxicaceae,Engl. & Gilg,family,4974,4977
352,Berberidopsidaceae,Takht.,family,4966,4971
353,Olacaceae,R.Br.,family,4898,4965
