citavi_ID,dataset,layer_name,layer,description,unit,coord_system,resolution,extent,version
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_8,Regularly Flooded Vegetation,Prevalence of Regularly Flooded Vegetation,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_9,Urban/Built-up,Prevalence of Urban/Built-up,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_10,Snow/Ice,Prevalence of Snow/Ice,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_11,Barren,Prevalence of Barren Land,%,WGS84,30 arc-seconds,global,
{Tuanmu 2014 #3533},Consensus land cover,consensus_full_class_12,Open Water,Prevalence of Open Water,%,WGS84,30 arc-seconds,global,
{Ghosh 2010 #3552},GDP from satellite,GDP_satellite,Gross Domestic Product,Estimate of Gross Domestic Product (GDP) Derived From Satellite Data,mio $,WGS84,30 arc-seconds,global,
{Zomer 2008 #3590},Global aridity and potential evapotranspiration,pet_he_yr,Potential Evapo-Transpiration,Annual Potential Evapo-Transpiration over 1950-2000,mm,WGS84,30 arc-seconds,global,
{Zomer 2008 #3590},Global aridity and potential evapotranspiration,ai_yr,Global Aridity Index,"Aridity expressed as a generalized function of precipitation, temperature and potential evapo-transpiration (PET) (UNEP, 1997): Aridity Index (AI) = MAP / MAE",,WGS84,30 arc-seconds,global,
{Doxsey-Whitfield 2015 #3531},Gridded population of the world 4,gpw-v4_popdensity_UN_2015,Population Density 2015,UN-Adjusted Population Density 2015,humans/km²,WGS84,30 arc-seconds,global,v4
{Doxsey-Whitfield 2015 #3531},Gridded population of the world 4,gpw-v4_popcount_UN_2015,Population Count 2015,UN-Adjusted Population Count  2015,humans,WGS84,30 arc-seconds,global,v4
{Tuanmu 2015 #3532},Global habitat heterogeneity,cv_01_05_1km_uint16,Coefficient of variation (first order),Normalized dispersion of Enhanced Vegetation Index,,WGS84,30 arc-seconds,global,
{Tuanmu 2015 #3532},Global habitat heterogeneity,evenness_01_05_1km_uint16,Evenness (first order),Evenness of Enhanced Vegetation Index,,WGS84,30 arc-seconds,global,
{Tuanmu 2015 #3532},Global habitat heterogeneity,Contrast_01_05_1km_uint32,Contrast (second order),Exponentially weighted difference in Enhanced Vegetation Index between adjacent pixels,,WGS84,30 arc-seconds,global,
{Tuanmu 2015 #3532},Global habitat heterogeneity,Dissimilarity_01_05_1km_uint32,Dissimilarity (second order),Difference in Enhanced Vegetation Index between adjacent pixels,,WGS84,30 arc-seconds,global,
{Tuanmu 2015 #3532},Global habitat heterogeneity,Entropy_01_05_1km_uint16,Entropy (second order),Disorderliness of Enhanced Vegetation Index,,WGS84,30 arc-seconds,global,
{Tuanmu 2015 #3532},Global habitat heterogeneity,Homogeneity_01_05_1km_uint16,Homogeneity (second order),Similarity of Enhanced Vegetation Index between adjacent pixels,,WGS84,30 arc-seconds,global,
{WCS 2005 #3553},Last of the wild human influence,hf_v2geo,Human Footprint,Human Influence Index normalized by biome and realm,,WGS84,30 arc-seconds,global,v2
{WCS 2005 #3554},Last of the wild human influence,hii_v2geo,Human Influence Index,"Global Human Influence Index created from nine global data layers covering human population pressure, human land use and infrastructure, and human access",,WGS84,30 arc-seconds,global,v2
{Trabucco 2010 #3591},Global soil water balance,aet_yr,Actual EvapoTranspiration,Average (1950-2000 period) annual evapotranspiration of reference vegetation,mm,WGS84,30 arc-seconds,global,
{Trabucco 2010 #3591},Global soil water balance,alpha,Priestley-Taylor alpha coefficient,"Dimensionless ratio of annual AET over PET (as alpha coefficient approaches 1, vegetation is uninfluenced by water stress",,WGS84,30 arc-seconds,global,
{Simard 2011 #3592},Canopy height,3DGlobalVeg_L3C,Canopy Height,Canopy height based on radar and lidar remote sensing,m,WGS84,30 arc-seconds,global,
{Hijmans 2005 #41},WorldClim 1.4 last glacial maximum climate,bio1_m_rs,LGM Annual Mean Temperature,"Last Glacial Maximum (LGM) Annual Mean Temperature 21,000 years before present derived as the mean from the CCSM3 and MIROC3.2 models downscaled to 30 arc-seconds",°C,WGS84,30 arc-seconds,global,
{Hijmans 2005 #41},WorldClim 1.4 last glacial maximum climate,bio12_m_rs,LGM Annual Precipitation,"Last Glacial Maximum (LGM) Annual Precipitation 21,000 years before present derived as the mean from the CCSM3 and MIROC3.2 models downscaled to 30 arc-seconds",mm,WGS84,30 arc-seconds,global,
"{Weigelt 2013 #3502}, {Hijmans 2005 #41}",Past climate change velocity,b1_v0,Past Climate Change Velocity in temperature,"Climate Change Velocity in temperature since the LGM 21,000 y BP as the ratio between temporal change and contemporary spatial change in temperature",m/a,WGS84,30 arc-seconds,global,
"{Weigelt 2013 #3502}, {Hijmans 2005 #41}",Past climate change velocity,b12_v0,Past Climate Change Velocity in precipitation,"Climate Change Velocity in precipitation since the LGM 21,000 y BP as the ratio between temporal change and contemporary spatial change in precipitation",m/a,WGS84,30 arc-seconds,global,
{Zhao 2010 #3593},MODIS gross and net primary productivity,MOD17A3_GPP_mean_00_14_0,Gross Primary Productivity,Annual Gross Primary Production total for 2000 - 2013 or 14 (65535(NA) replaced by 0),g carbon m²,WGS84,30 arc-seconds,global,
