ref_ID,ref_long,geo_entity_ref,type,subset,taxon_ID,taxon_name,checklist,native_indicated,natural_indicated,end_ref,traits,restricted,proc_date
56,"CARMABI (2009) Dutch Caribbean Biodiversity Explorer. Available at: http://www.dcbiodata.net/explorer/home, last accessed  24 June 2011.",Dutch Caribbean,Species Database,native,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
60,"Wace & Dickson (1965) The terrestrial botany of the Tristan da Cunha Islands. Philosophical Transactions of the Royal Society of London B Biological Sciences 249, 273-360.",Tristan da Cunha Islands,Checklist,native and naturalized,2,Tracheophyta,1,1,1,1,0,0,2011-09-12
61,"Greene & Walton (1975) An annotated check list of the sub-Antarctic and Antarctic vascular flora. Polar Record 17, 473–484.",sub-Antarctic Islands,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
62,"Gabrielsen, Brekke, Alsos & Hansen (1997) Natur-og kulturmiljøet på Jan Mayen. Norsk Polarinstitutt, Oslo;  Norway.",Jan Mayen,Checklist,all,2,Tracheophyta,1,1,0,1,0,0,2011-06-30
63,"Cronk (1989) The past and present vegetation of St Helena. Journal of Biogeography 16, 47–64.",St. Helena,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
64,"Miranda Freitas (2007) A Flora Fanerogâmica Atual do Arquipélago de Fernando de Noronha - Brasil. Universidade Estadual, Feira de Santana; Brasil, 297p.",Fernando de Noronha,Flora,native and naturalized,5,Spermatophyta,1,1,1,1,0,0,2011-07-01
65,"Alves (1998) Ilha da Trindade & Arquipélago Martin Vaz. Serviço de Documentação da Marinha, Rio de Janeiro, Brasil, 144p.",Trindade and Martin Vaz,Checklist,all,2,Tracheophyta,1,1,1,1,0,0,2011-06-30
67,"Vander Velde (2003) The vascular plants of Majuro atoll, Republic of the Marshall Islands. Atoll Research Bulletin 503, 1-141.",Majuro Atoll,Flora,native and historically introduced,2,Tracheophyta,1,1,1,1,0,0,2011-06-30
68,"Wellington Botanical Society (2008) Native vascular plants of Great Barrier Island. Wellington Botanical Society, Wellington;  New Zealand.",Great Barrier Island,Checklist,native,2,Tracheophyta,1,1,0,1,0,0,9999-12-31
69,"Takahashi, Barkalov, Gage & Zhuravlev (1997) A preliminary study of the flora of Chirpoi, Kuril Islands. Acta Phytotaxonomica et Geobotanica 48, 31–42.",Chirpoi,Checklist,native,2,Tracheophyta,1,1,0,0,0,0,9999-12-31
